pop, ms ,plot,line,y1,y2,x1,x2,tag,notes,id,class.2013,ros1.2013,ros2.2013,fruits.2013,flowers.2013,class.2014,ros1.2014,ros2.2014,fruits.2014,flowers.2014,notes.2014,class.2015,ros1.2015,ros2.2015,fruits.2015,flowers.2015,notes.2015,class.2016,ros1.2016,ros2.2016,fruits.2016,flowers.2016,notes.2016, found.yr 
B46,S,1,1,29.75,,-0.09,,,img943,189,A,8,7,5,5,A,7,4,,11,,A,5,4,0,4,80% dead,D,,,,,,2013
B46,S,1,1,29.92,,0.05,,,,190,J,1,1,,,A,2,2,,2,,J,0.5,0.5,,,,J,1.5,2,,,,2013
B46,S,1,1,30.15,,-0.29,,,,191,J,1,1,,,A,1,1,,1,,J,1,1,,,,J,1.5,1.5,,,,2013
B46,S,1,1,30.07,,-0.38,,,up rooted,192,A,2,2,,1,D,,,,,,D,,,,,,D,,,,,,2013
L06,A,1,1,13.5,,1,,,Bud UH,193,J,15,12,,,A,4,4,,4,,A,6,4,3,3,,A,4.5,3,3,3,,2013
L06,A,1,1,13.43,,0.94,,,,194,J,6,3,,,D,,,,,,A,8,8.5,13,13,,D,,,,,,2013
L06,A,1,1,13.45,,0.75,,,,195,J,7,5,,1,A,4,2,,3,,D,,,,,,A,3,3.5,5,5,,2013
L06,A,1,1,13.28,,-0.68,,L17,DH,196,J,4,4,,1,A,4,2,,3,,A,4.5,3.5,3,3,,D,,,,,,2013
L06,A,1,1,13.85,,-0.03,,,Dead,197,J,10,8,,10,J,6,4,,,,D,,,,,,D,,,,,,2013
L06,A,1,1,14,,-0.03,,,,198,J,4,4,,3,A,4,2.5,,4,,A,4,4.5,7,7,,D,,,,,,2013
L06,A,1,1,13.82,,0.55,,L09,UH,199,J,2,3,,2,A,4.5,2.5,,7,,D,,,,,,A,1,1,1,2,,2013
L06,A,1,1,13.88,,0.47,,,,200,J,0.5,0.5,,,D,,,,,,D,,,,,,D,,,,,,2013
L06,A,1,1,13.8,,0.63,,,,201,J,3,2,,2,A,3,4.5,,5,,D,,,,,,D,,,,,,2013
L06,A,1,1,14,,1.28,,,poss. (+x)?,202,J,2,1,,,J,1.5,1,,,,A,2.5,2.5,1,1,,D,,,,,,2013
L06,A,1,1,14.5,,0.75,,,,203,J,0.3,0.5,,,A,2.5,2,,4,,D,,,,,,D,,,,,,2013
L06,A,1,1,14.8,,0.85,,N,DH,204,J,7,9,,3,A,5.5,3.5,,6,,A,7,6.5,,,,J,2.5,2.5,,,,2013
L06,A,1,1,15.05,,0.6,,,stressed,205,J,7,7,,13,A,5,4.5,,9,,A,7,6.5,4,6,PAR,D,,,,,,2013
L06,A,1,1,15.3,,1,,,stressed,206,J,8,5,,6,J,6,6,,,,D,,,,,,D,,,,,,2013
L06,A,1,1,15.4,,0.7,,,near rock,207,J,6,4,,4,A,4.5,5,,12,,A,6.5,4,3,3,,A,5,4.5,3,4,,2013
L06,A,1,1,15.42,,0.5,,,in grass clump,208,J,6,5,,1,D,,,,,,D,,,,,,D,,,,,,2013
L06,A,1,1,15.65,,0.33,,L04,UH,209,J,0.3,0.3,,,J,1.5,1.5,,,,A,3.5,3.5,3,3,,A,2.5,3.5,3,3,,2013
L06,A,1,1,15.55,,0.15,,,,210,J,0.3,0.3,,,D,,,,,,D,,,,,,D,,,,,,2013
L06,A,1,1,15.53,,0.13,,,in grass clump,211,J,0.3,0.3,,,J,0.5,0.5,,,,A,2,2,1,1,,A,2.5,1,1,2,,2013
L06,A,1,1,15.4,,-0.06,,,bud,212,J,0.3,0.3,,,J,1,1,,1,,A,4.5,4.5,4,4,,A,3.5,3,4,4,,2013
L06,A,1,1,15.25,,-0.54,,,,213,J,1.5,1,,3,D,,,,,,D,,,,,,D,,,,,,2013
L06,A,1,1,15.65,,1.05,,,,214,J,0.2,0.2,,,J,1,1,,,,D,,,,,,A,3.5,2.5,3,3,,2013
L06,A,1,1,15.87,,0.64,,,,215,J,3,3,,1,A,3,2.5,,6,,D,,,,,,D,,,,,,2013
L06,A,1,1,15.85,,1.44,,L12,DH,216,J,1,2,,,A,2,2,,2,,A,6,4.5,6,6,,A,6.5,4.5,7,7,,2013
L06,A,1,1,15.9,,1.4,,,,217,J,6,3,,2,A,1,4,,4,,D,,,,,,D,,,,,,2013
L06,A,1,1,16.18,,0.31,,,,218,J,3,3,,5,A,2.5,3,,3,,A,3,3,0,1,1/2  0,A,2,1.5,1,2,,2013
L06,A,1,1,16.75,,0.97,,,,219,J,2,2,,2,A,3,2.5,,4,,A,6,3.5,3,3,,A,1,1,0,1,,2013
L06,A,1,1,16.75,,-0.25,,,herb,220,J,0.3,0.3,,,A,1,1,,1,,A,2,2,1,1,,A,1.5,1.5,1,1,,2013
L06,A,1,1,17.9,,0.35,,,SAGE BRUSH RUN LINE,221,,,,,,,,,,,,,,,,,,,,,,,,2013
L06,A,1,1,18.5,,0.7,,,,222,J,1,2,,3,D,,,,,,A,5,4.5,8,8,,A,3.5,3,1,1,,2013
L06,A,1,1,18.7,,0.72,,,DH rock,223,J,1.5,1,,,A,2.5,2,,3,,J,2,2,,,,D,,,,,,2013
L06,A,1,1,18.72,,1,,,,224,J,3.3,3.5,,4,A,3,3,,6,,A,6,5,3,3,,A,4.5,3,3,3,,2013
L06,A,1,1,18.75,,1.3,,L02,DH,225,J,1.5,1,,2,A,3,2.5,,5,,A,4,4,3,4,,A,4,4,1,1,,2013
L06,A,1,1,18.85,,0,,L03,DH,226,J,4.5,2,,1,J,0.5,0.5,,,,A,6,6,11,11,,A,6.5,5,20,20,,2013
L06,A,1,1,19.2,,1.2,,N,DH,227,J,7,5.5,,11,A,6.5,5,,12,,D,,,,,,D,,,,,,2013
L06,A,1,1,19.1,,0.85,,,stressed,228,J,5.5,5.7,,4,A,4.5,4.5,,4,,A,6,5.5,3,3,stressed,A,4,3,3,3,,2013
L06,A,1,1,20.07,,0.67,,,,229,J,0.5,0.5,,,A,2,1.5,,1,,A,4.5,4,7,7,,A,3.5,3,4,4,,2013
L06,A,1,1,21,,0,,,Line runs over sage brush,230,,,,,,,,,,,,,,,,,,,,,,,,2013
L11,S,1,1,0.1,,0.15,,,max x=1.7,231,A,2,1.5,3,3,D,  ,,,,,S,0.5,0.5,,,,D,,,,,,2013
L11,S,1,1,2.22,,1.7,,,,232,A,1.7,1.6,1,1,D,,,,,,D,,,,,,D,,,,,,2013
L11,S,1,1,4,,0.25,,,,233,A,0.5,0.7,1,1,D,,,,,,D,,,,,,D,,,,,,2013
L11,S,1,1,4.03,,0.76,,L05,UH,234,A,1.4,1.3,2,2,A,2,1.5,3,3,,D,,,,,,D,,,,,,2013
L11,S,1,1,4.38,,0.35,,,,235,A,1,0.8,1,1,A,2,2,2,2,,A,2.5,2.5,2,2,,J,1.5,1,,,,2013
L11,S,1,1,4.77,,0.37,,,,236,A,1.4,1.2,1,1,A,3,1.5,2,3,,D,,,,,,D,,,,,,2013
L11,S,1,1,6.61,,0.71,0.79,,,237,A,2,2.6,2,4,A,4,2.5,2,2,,J,1.5,1.5,,,,A,2.5,1.5,,4,,2013
L11,S,1,1,7.28,,0.83,,,,238,J,0.5,0.8,,,J,2,1,,,,A,1.5,2,1,1,,A,1.5,1.5,,4,,2013
L11,S,1,1,10.55,,1,,,,239,A,1.7,2.2,2,3,A,3.5,2.5,2,2,,J,3.5,3,,,,D,,,,,,2013
L11,S,1,1,11.6,,0.84,,,,240,A,2.5,1.7,1,1,A,3,2.5,0,1,,J,1,1,,,,A,2.5,2,,1,,2013
L11,S,1,1,12.05,,0.75,,,,241,A,3.5,2.7,3,3,J,4,2.5,,,,J,2.5,1.5,,,,J,2,1.5,,,,2013
L11,S,1,1,12.35,,0.05,,L11,UH,242,A,1.5,0.7,2,2,D,,,,,,D,,,,,,D,,,,,,2013
L11,S,1,1,12.35,,0.11,,,,243,A,1.6,1,1,1,D,,,,,,D,,,,,,D,,,,,,2013
L11,S,1,1,12.48,,0.5,,,,244,A,1.3,0.6,2,2,J,2,1.5,,,,J,1,1.5,,,,A,1,1,,3,,2013
L11,S,1,1,12.8,,0.29,,,,245,A,2,1.3,2,2,J,2,1,,,,J,1.5,1,,,,A,1.5,1,,2,,2013
L11,S,1,1,12.97,,0.12,,,,246,A,1.7,0.9,2,2,D,2,1,,,,D,,,,,,D,,,,,,2013
L11,S,1,1,13.22,,0.55,,,,247,A,2,1.1,2,2,D,,,,,,D,,,,,,D,,,,,,2013
L11,S,1,1,13.4,,0.63,,L13,UH,248,A,2.6,1.4,2,2,J,3.5,2,,,,J,2,1.5,,,,A,1.5,2,,2,,2013
L11,S,1,1,13.41,,0.83,,,,249,A,1,1,1,1,A,2,1.5,1,1,,A,2,2,1,1,,A,1.5,2,,2,,2013
L11,S,1,1,13.5,,0.6,,,,250,A,0.5,0.5,1,1,D,,,,,,A,1.5,1,0,1,,D,,,,,,2013
L11,S,1,1,13.5,,0.23,,,,251,A,1.9,0.8,1,1,J,2.5,1.5,,,,J,1,0.5,,,,A,0.5,0.5,,1,,2013
L11,S,1,1,1.35,,0.4,,,,252,A,0.5,0.5,1,1,A,2,1,1,1,,D,,,,,,D,,,,,,2013
L11,S,1,1,13.72,,0,,,,253,A,0.5,0.5,1,1,A,2,1.5,1,1,,A,2,2,1,2,,A,1,1,,1,,2013
L11,S,1,1,13.78,,0,,,,254,A,0.5,0.5,1,1,A,3,2.5,1,2,,A,2.5,2,1,2,,A,1.5,1.5,,1,,2013
L11,S,1,1,13.87,,0.09,,,,255,A,2.1,1,2,2,A,2.5,1.5,2.5,1.5,,A,2.5,3,4,4,,D,,,,,,2013
L11,S,1,1,14.02,,0.82,,,,256,A,0.5,0.5,1,1,D,1.5,1.5,1,1,,J,2,2,,,,J,1.5,1,,,,2013
L11,S,1,1,14.09,,0.89,,,,257,A,2.5,2.7,3,3,A,3,3,,,,D,,,,,,D,,,,,,2013
L11,S,1,1,14.14,,0.05,,,,258,A,1.5,0.6,1,1,A,1.5,1.5,,,,A,3.5,2,1,1,,J,1,1,,,,2013
L11,S,1,1,14.15,,0.23,,,,259,A,1.5,2.5,3,3,J,3,3,,,,A,3,2.5,0,3,,D,,,,,,2013
L11,S,1,1,14.15,,0.98,,,,260,A,0.5,0.5,1,1,J,1.5,1.5,,,,J,2,1.5,,,,D,,,,,,2013
L11,S,1,1,14.33,,0.25,,L07,UH,261,A,3.2,2.5,4,4,A,4,3.5,4,4,,D,,,,,,D,,,,,,2013
L11,S,1,1,14.71,,0.1,,,,262,A,0.5,0.5,1,1,A,2,2,1,1,,A,1.5,1.5,1,1,,J,1,1,,,,2013
L11,S,1,1,14.75,,0.13,,,img1424,263,J,0.3,0.3,,,A,2,2,1,1,,J,1.5,1.5,,,,J,0.5,0.5,,,,2013
L11,S,1,1,14.72,,0.53,,,IN CLUMP,264,A,3,1.8,3,3,J,1.5,1,,,,J,,,,,buried,A,3,2,,4,,2013
L11,S,1,1,14.58,,0.64,,L14,UH,265,J,1.5,0.8,,,J,2,1,,,,J,2,1.5,,,,A,1,1,,1,,2013
L11,S,1,1,14.85,,0.7,,,,266,J,1,1,,,J,2,1,,,,A,2,1.5,1,1,,A,1,0.5,,,1 ABORTED,2013
L11,S,1,1,15.07,,0.7,,,,267,A,2,1.3,0,1,D,,,,,,D,,,,,,D,,,,,,2013
L11,S,1,1,15.36,,0.56,,,,268,A,0.5,0.5,1,1,J,2,1.5,,,,D,,,,,,D,,,,,,2013
L11,S,1,1,15.47,,0.45,,,herb,269,A,2,1.3,1,1,D,,,,,,S,0.5,0.5,,,,D,,,,,,2013
L11,S,1,1,15.62,,0.08,,,1/2 dead,270,A,3.2,3,2,2,D,,,,,,D,,,,,,D,,,,,,2013
L11,S,1,1,15.56,,0.14,,,,271,J,0.5,0.5,,,J,2,2,,,,A,3,3,2,2,,A,2.5,2,,3,1 ABORTED,2013
L11,S,1,1,15.69,,0.16,,N,N=south,272,J,0.5,0.5,,,J,0.5,0.5,,,,J,0.5,0.5,,,,D,,,,,,2013
L11,S,1,1,15.62,,0.83,,,,273,J,0.5,0.5,,,J,0.5,0.5,,,,J,1,1,,,,J,1,1,,,,2013
L11,S,1,1,15.79,,0.61,,,,274,J,0.3,0.3,,,A,1.5,1.5,1,1,,A,1,1,0,1,,J,1,1,,,,2013
L11,S,1,1,15.8,,0.76,,,img1438,275,J,0.3,0.3,,,J,0.5,0.5,,,,J,1,0.5,,,,A,0.5,0.5,,,,2013
L11,S,1,1,16.41,,0.16,,,,276,J,0.4,0.4,,,A,1.5,1.5,1,1,,J,1.5,1,,,,A,0.5,0.5,,1,,2013
L11,S,1,1,17.15,,0.79,,,herb,277,A,1,1,1,1,A,2,1.5,2,3,,J,1.5,1.5,,,,J,1,1,,,,2013
L11,S,1,1,17.35,,0.89,,,2 old dead buds,278,J,2.1,2.1,,,A,2.5,2,1,1,,A,3,2,0,1,,J,1.5,2,,,,2013
L11,S,1,1,18.32,,0.08,,,,279,A,2.5,1.4,2,2,D,,,,,,D,,,,,,D,,,,,,2013
L11,S,1,1,18.27,,0.15,,,,280,J,0.4,0.4,,,D,,,,,,D,,,,,,D,,,,,,2013
L11,S,1,1,18.28,,0.15,,,dead img1446,281,A,,,,,A,3,1.5,1,1,,A,3,2.5,2,2,,A,2,3,,4,1 ABORTED,2013
L11,S,1,1,18.77,,0.39,,,,282,A,0.5,0.5,1,1,J,2.5,2,,,,J,2.5,1,1,,,A,2.5,2.5,,3,1 ABORTED,2013
L11,S,1,1,18.8,,0.32,,,,283,A,1,1,0,1,A,2.5,2,3,3,,A,2.5,2.5,,,,A,3.5,3.5,,4,,2013
L11,S,1,1,18.8,,0.65,,,herb,284,A,1.3,1.2,2,2,A,2,1.5,2,3,,A,2,2,2,2,,A,2.5,2,,5,,2013
L11,S,1,1,19.07,,0.78,,,,285,A,1.7,1.2,2,2,A,2.5,2,1,1,,A,2.5,2.5,1,1,,A,3,3,,4,,2013
L11,S,1,1,19.15,,0,,L38,,286,A,2.7,2,2,3,A,2.5,1.5,2,2,,A,3,3,2,2,,A,2.5,2.5,,3,,2013
L11,S,1,1,19.3,,0.04,,,,287,A,1,1,1,1,A,1.5,1.5,1,1,,J,0.5,0.5,,,,J,1,1,,,,2013
L11,S,1,1,19.41,,0.03,,,,288,A,1,1,1,1,A,2,1,1,1,,A,2,2.5,2,2,,A,2,1.5,,2,,2013
L11,S,1,1,20.65,,0.47,,,,289,A,1,1,1,1,A,2,1,2,2,,A,4,3,4,4,,A,2.5,3,,6,,2013
L11,S,1,1,20.82,,0.92,,,,290,A,1,1,1,1,A,2,1.5,2,2,,A,2.5,2,1,1,,A,1.5,2,,2,,2013
L11,S,1,1,21.67,,0.25,,,,291,A,1,1,1,1,J,2,1.5,,,,D,,,,,,J,1,1,,,,2013
L11,S,1,1,22.05,,0.09,,,,292,A,4,2.5,4,4,A,5,3,4,4,,A,4,3,1,2,,A,2.5,2.5,,2,2 ABORTED,2013
L11,S,1,1,22.1,,0.18,,,,293,A,1,2.5,1,1,A,2,2,1,2,,A,1.5,1.5,0,2,,D,,,,,,2013
L11,S,1,1,22.52,,0.9,,L08,DH,294,A,2.5,1.5,2,2,A,2,1.5,2,2,,D,,,,,,D,,,,,,2013
L11,S,1,1,22.82,,0.8,,,,295,A,3,1.5,2,2,A,1,1,1,1,,A,1,1,0,1,,D,,,,,,2013
L11,S,1,1,26.3,,0.82,,,aborted head img1501,296,A,2.2,1.5,2,2,J,2,1.5,,,,,,,,,burid in snow,A,3,2,,3,,2013
L11,S,1,1,26.05,,0.22,,,,297,J,1.8,1,0,2,A,1.5,1,1,1,,D,,,,,,D,,,,,,2013
L11,S,2,1,8.25,,0.35,,,,298,A,2.5,2.5,1,1,J,2,1.5,,,,A,3,3,4,4,,A,1.5,2,,1,1 ABORTED,2013
L11,S,2,1,8.48,,0.42,,,,299,A,1,1,1,1,D,,,,,,D,,,,,,D,,,,,,2013
L11,S,2,1,8.49,,0.42,,,,300,J,0.5,0.5,,,J,0.5,0.5,,,,D,,,,,,D,,,,,,2013
L11,S,2,1,8.49,,0.46,,,,301,J,0.2,0.2,,,J,0.5,0.5,,,,J,1.5,1.5,,,,J,1.5,1.5,,,,2013
L11,S,2,1,8.49,,0.48,,,img1544,302,J,0.2,0.2,,,J,0.5,0.5,,,,D,,,,,,D,,,,,,2013
L11,S,2,1,8.54,,0.47,,,,303,A,2,3,2,2,A,2,2,1,1,,D,,,,,,D,,,,,,2013
L11,S,2,1,9,,0.76,,,,304,A,1.7,1.7,1,1,J,1,1,,,,A,2,1.5,1,1,,A,1,1,,1,,2013
L11,S,2,1,10.55,,0.6,,L15,DH,305,A,3.5,2.5,3,3,A,5,4,2,2,,D,,,,,,D,,,,,,2013
L11,S,2,1,10.61,,0.61,,,,306,J,0.2,0.2,,,D,,,,,,D,,,,,,A,2,2,,2,,2013
L11,S,2,1,10.61,,0.8,,,,307,A,3.2,1.5,4,4,D,3,2,,,,A,3.5,2.5,4,4,,D,,,,,,2013
L11,S,2,1,10.72,,0.62,,,,308,A,0.5,0.5,1,1,A,2,1.5,2,2,,A,1.5,2,1,1,,D,,,,,,2013
L11,S,2,1,10.81,,0.64,,,,309,A,3.7,2.4,2,2,A,3,2,1,1,,J,2.5,1.5,,,,A,2.5,2,,1,,2013
L11,S,2,1,10.87,,0.82,,,,310,A,3,1.8,1,2,J,3,2,,,,A,2.5,2,1,2,,J,0.5,0.5,,,,2013
L11,S,2,1,11,,0.56,,,,311,A,1.7,1,0,1,J,2,1.5,,,,A,3,2.5,2,2,,D,,,,,,2013
L11,S,2,1,11.2,,0.52,,,,312,A,3.3,2.1,3,3,A,3,2,2,2,,A,3,2,1,2,,A,2,3,,3,,2013
L11,S,2,1,11.38,,0.47,,,,313,J,0.3,0.3,,,A,2,1.5,2,2,,A,3.5,3,3,3,,A,2,1.5,,1,,2013
L11,S,2,1,11.6,,0.4,,,,314,A,1,1,1,1,A,2,1,1,1,,A,2.5,2,1,1,,A,1,2,,1,,2013
L11,S,2,1,11.8,,0,,,,315,A,0.5,0.5,1,1,J,3,1.5,,,,A,3,1.5,1,1,,J,1,1,,,,2013
L11,S,2,1,11.8,,0.04,,,,316,A,0.3,0.3,1,1,D,,,,,,D,,,,,,D,,,,,,2013
L11,S,2,1,11.78,,0.1,,,,317,A,2.5,1,2,2,D,,,,,,D,,,,,,D,,,,,,2013
L11,S,2,1,11.81,,0.28,,,,318,A,2,2,2,2,J,2,1,,,,J,0.5,0.5,,,,J,0.5,0.5,,,,2013
L11,S,2,1,12,,0.42,,,,319,A,4.5,2.5,4,4,A,3.5,2,3,3,,D,,,,,,D,,,,,,2013
L11,S,2,1,12.66,,0.28,,,,320,A,1.5,3,1,1,D,,,,,,D,,,,,,D,,,,,,2013
L11,S,2,1,12.95,,0.37,,,,321,J,1.5,2.7,,,D,,,,,,D,,,,,,D,,,,,,2013
L11,S,2,1,13.01,,0.66,,,,322,A,2.7,1.5,2,2,A,3,2,1,1,,A,4,2,2,2,,A,3,3.5,,5,,2013
L11,S,2,1,13.08,,0.58,,,,323,A,3,2,1,1,A,3,3,3,3,,A,3.5,3,3,3,,A,2,2.5,,1,1 ABORTED,2013
L11,S,2,1,12.97,,0.87,,L19,,324,A,3.5,2.2,2,2,A,4,2.5,1,1,,A,4,3,5,5,,A,2.5,2,,1,,2013
L11,S,2,1,13.07,,0.88,,,,325,J,0.2,0.2,,,A,1,1,1,1,,A,2,2,1,1,,J,1.5,1.5,,,,2013
L11,S,2,1,13.16,,0.36,,,,326,J,0.3,0.3,,,A,1.5,1,1,1,,A,3,2,2,2,,J,2,1.5,,,,2013
L11,S,2,1,13.25,,0.37,,,,327,J,0.2,0.2,,,J,0.5,0.5,,,,A,3,3,1,1,,A,1,1,,1,,2013
L11,S,2,1,13.31,,0.85,,,,328,A,3,2.5,2,2,J,2,1.5,,,,A,3.5,3,4,4,,A,1,1,,1,,2013
L11,S,2,1,13.6,,0.5,,,,329,A,3.2,2,2,2,A,3,3,5,5,,J,2,1,,,,A,0.5,0.5,,1,,2013
L11,S,2,1,13.6,,0.53,,,,330,J,0.3,0.3,,,A,2,1,1,3,,J,0.5,0.5,,,,D,,,,,,2013
L11,S,2,1,13.5,,0.38,,,,331,J,0.2,0.2,,,D,,,,,,D,,,,,,D,,,,,,2013
L11,S,2,1,13.5,,0.38,,,img1607,332,S,,,,,D,,,,,,D,,,,,,D,,,,,,2013
L11,S,2,1,13.92,,0.03,,,,333,A,2,1.5,2,2,A,2.5,2.5,2,2,,A,3.5,3,4,4,,A,2,3,,2,,2013
L11,S,2,1,14.65,,0.42,,,,334,A,2,1,1,1,A,2.5,1.5,1,1,,A,4,3.5,5,5,,A,2.5,1.5,,,4 ABORTED,2013
L11,S,2,1,stopped @ y=15,,,,,,335,,,,,,,,,,,,,,,,,,,,,,,,2013
L17,A,1,1,5.27,,-0.66,,,,336,A,2,2,2,2,A,3,1.5,,2,,J,1,1,,,1/2 dead,A,1,1,1,1,,2013
L17,A,1,1,5.25,,-0.66,,,,337,A,2,2,3,3,A,3,1.5,,4,,J,3,3,,,3/4 dead,A,1,1,1,1,,2013
L17,A,1,1,6.35,,-0.18,,,,338,A,1.5,2.5,2,3,A,3,2,,2,,J,3,2.5,,,,D,,,,,,2013
L17,A,1,1,6.9,,-1.2,,,,339,A,5.5,5,1,1,A,5.5,5,,7,,J,4.5,3.5,,,1/2 dead,S,0.5,0.5,,,,2013
L17,A,1,1,7.48,,-0.59,,,,340,A,1.5,1.5,1,1,A,2,2,,2,,D,,,,,,D,,,,,,2013
L17,A,1,1,12.5,,0.93,,,,341,A,2.5,1.5,1,1,J,3,2,,,,J,2.5,1.5,,,,A,1.5,1.5,1,2,,2013
L17,A,1,1,12.25,,1.3,,,,342,A,2.5,2.5,2,2,A,4,3,,7,,D,,,,,,J,1.5,1,,,,2013
L17,A,1,1,12.75,,1.6,,,near rock,343,A,3.5,3.5,4,4,A,2,2,,1,,D,,,,,,D,,,,,,2013
L17,A,1,1,12.57,,1.62,,N,Nail towards rd,344,A,1.5,1.5,1,1,A,2.5,3,,3,,D,,,,,no nail,J,1,1,,,,2013
L17,A,1,1,12.57,,1.71,,,,345,J,0.5,0.5,,,D,,,,,,D,,,,,sp? might be,S,0.5,0.5,,,,2013
L17,A,1,1,13.5,,1,,,Lg ROCK,346,,,,,,,,,,,,,,,,,,,,,,,,2013
L17,A,1,1,15.8,,1,,,Lg ROCK,347,,,,,,,,,,,,,,,,,,,,,,,,2013
L17,A,1,1,14.55,,-0.71,,,,348,A,5.5,4.5,4,4,A,6,6,,10,,D,,,,,,D,,,,,,2013
L17,A,1,1,15.22,,0.12,,,,349,A,3.5,3.5,2,2,A,2.5,3,,4,,D,,,,,,D,,,,,,2013
L17,A,1,1,15.9,,1.8,,,,350,A,2,2,1,1,A,2,1.5,,3,,A,2.5,2,,2,,A,1.5,1.5,3,3,,2013
L17,A,1,1,16.25,,1.15,,,,351,J,1.5,1,,,A,2,1,,2,,D,,,,,,D,,,,,,2013
L17,A,1,1,16.46,,0.36,,,,352,A,4,4,6,6,J,3,2.5,,,,D,,,,,covered in mud,D,,,,,,2013
L17,A,1,1,16.76,,0.19,,,,353,A,2,2.5,1,1,D,,,,,,D,,,,,,D,,,,,,2013
L17,A,1,1,16.65,,0.66,,,,354,A,2.5,2.5,2,2,J,4,3,,,,J,1.5,0.5,,,,J,0.5,0.5,,,,2013
L17,A,1,1,16.75,,1.6,,L20,Tag N of plant,355,A,?,?,1,1,A,2,2,,3,,D,,,,,Tag found,D,,,,,,2013
L17,A,1,1,16.6,,0.87,,,,356,A,1.5,2,1,1,A,2,2,,2,,A,4,3,,2,9:29 imag,A,2,1.5,3,3,,2013
L17,A,1,1,17.15,,-0.75,,,,357,J,3,2,,,A,3,2.5,,3,,A,4,3,,4,,A,2,2,4,4,,2013
L17,A,1,1,17.05,,-0.93,,,,358,A,3,3,2,2,A,5,2,,4,,D,,,,,,J,0.5,0.5,,,,2013
L17,A,1,1,17.53,,-0.94,,,,359,A,3,3,1,1,A,2.5,3,,4,,D,,,,,,D,,,,,,2013
L17,A,1,1,17.5,,-0.13,,L18,Tag S of plant,360,A,3,3,,2,A,4,3,,3,,J,3.5,3,,,,D,,,,,,2013
L17,A,1,1,17.4,,0.38,,,,361,A,4,3.5,2,2,A,4,3.5,,4,,A,4,2.5,,4,half buri,D,,,,,,2013
L17,A,1,1,17.5,,0.43,,,,362,A,1.5,1.5,1,1,A,1.5,2,,1,,D,,,,,,D,,,,,,2013
L17,A,1,1,17.84,,-0.47,,,by rock,363,A,3.5,4.5,2,3,A,5,5,,7,,D,,,,,,D,,,,,,2013
L17,A,1,1,17.85,,-0.77,,,?-x,364,A,?,?,2,2,A,3.5,3,,2,,A,3,2.5,,2,,A,2.5,2.5,6,6,,2013
L17,A,1,1,17.96,,-0.66,,,,365,J,0.5,0.5,,,A,1,1,,1,,A,1,1.5,,1,,A,1.5,2,3,3,,2013
L17,A,1,1,18,,-0.68,,,,366,A,3.5,2.5,2,2,D,,,,,,D,,,,,,D,,,,,,2013
L17,A,1,1,18.04,,-0.66,,N,UH,367,J,0.5,0.5,,,D,,,,,,D,,,,,no nail found,D,,,,,,2013
L17,A,1,1,18.1,,-0.74,,,,368,A,1.5,2,1,1,D,,,,,,D,,,,,,D,,,,,,2013
L17,A,1,1,18.12,,-0.58,,L16,DH,369,A,2.5,1.5,1,1,D,,,,,,D,,,,,,D,,,,,,2013
L17,A,1,1,18.18,,-0.37,,,,370,J,0.5,0.5,,,A,1,1,,1,,D,,,,,,D,,,,,,2013
L17,A,1,1,18.2,,-0.45,,,,371,A,3,5.5,3,3,A,6,2,,4,,D,,,,,,D,,,,,,2013
L17,A,1,1,18.37,,-0.79,,,,372,J,0.5,0.5,,,A,2,1,,1,,D,,,,,buried,D,,,,,,2013
L17,A,1,1,18.38,,-0.92,,,,373,J,0.5,0.5,,,A,2,1.5,,2,,D,,,,,buried,D,,,,,,2013
L17,A,1,1,18.45,,-0.16,,,,374,J,1.5,1.5,,,A,2.5,2,,3,,,,,,,These did not make it onto the field demography printouts for some reasonÄ.,J,2,2,,,,2013
L17,A,1,1,18.43,,-0.68,,N,DH,375,J,1,1,,,A,2,2,,1,,,,,,,No latter data on the pdf,D,,,,,,2013
L17,A,1,1,18.47,,-0.64,,N,DH,376,J,0.5,0.5,,,J,0.5,0.5,,,,,,,,,     ,D,,,,,,2013
L17,A,1,1,18.8,,-1.13,,,,377,A,3.5,5,4,4,A,8,4.5,,8,,,,,,,,D,,,,,,2013
L17,A,1,1,18.86,,0.43,,,,378,A,4.5,3,2,2,A,5,3,,7,,,,,,,,D,,,,,,2013
L17,A,1,1,19.15,,1.4,,,,379,A,1.5,1,1,1,A,2,1.5,,1,,,,,,,,D,,,,,,2013
L17,A,1,1,20.02,,0.35,,,,380,A,2.5,3,2,2,D,,,,,,,,,,,,D,,,,,,2013
L17,A,1,1,20.65,,0.23,,,under rock,381,A,9,4,8,8,A,9,6,,7,,,,,,,,S,0.5,0.5,,,,2013
L17,A,1,1,21.8,,1.13,,,,382,A,4.5,3,3,3,D,,,,,,,,,,,,D,,,,,,2013
L17,A,1,1,22.08,,1.13,,,near rock,383,A,3.5,3.5,4,4,D,,,,,,,,,,,,D,,,,,,2013
L17,A,1,1,22.5,,1.8,,,near big rok,384,A,3,2.5,2,2,A,6,3,,6,,,,,,,,D,,,,,,2013
L17,A,1,1,22.7,,1.3,,,,385,A,4,3,3,5,A,6,3,,5,,,,,,,,D,,,,,,2013
L17,A,1,1,24.25,,0.14,,,,386,A,4,2,4,4,A,5,2,,3,,,,,,,,,,,,,SAME PLANT,2013
L17,A,1,1,24.49,,0.23,,,,387,A,4,2,1,3,D,,,,,,,,,,,,D,,,,,,2013
